Thresh%	Bins	bytes	pSNR
99.845	38	8417340	24.34
99.845	40	8418048	24.50
99.845	42	8418784	24.72
99.845	44	8419496	24.67
99.845	46	8420220	24.58
99.845	48	8420944	24.79
99.845	50	8421664	24.81
99.845	52	8422356	24.93
99.845	54	8423084	24.79
99.845	56	8423720	24.85
99.845	58	8424208	25.01
99.845	60	8424692	25.12
99.845	62	8425176	24.81
99.845	64	8425660	24.81
99.845	66	8426136	25.09
99.845	68	8426624	25.14
99.845	70	8427108	25.11
99.845	72	8427588	25.09
99.845	74	8428056	25.13
99.845	76	8428488	25.11
99.845	78	8428936	25.21
99.845	80	8429388	25.10
99.845	82	8429824	25.12
99.845	84	8430264	25.16
99.845	86	8430716	25.24
99.845	88	8431144	25.10
99.845	90	8431568	25.15
99.845	92	8432000	25.23
99.845	94	8432424	25.23
99.845	96	8432832	25.25
99.845	98	8433232	25.23
99.845	100	8433624	25.22
99.845	102	8434032	25.27
99.845	104	8434416	25.26
99.845	106	8434800	25.22
99.845	108	8435184	25.24
99.845	110	8435576	25.25
99.845	112	8435932	25.28
99.845	114	8436300	25.22
99.845	116	8436660	25.23
99.845	118	8436964	25.28
99.845	120	8437272	25.30
99.845	122	8437580	25.21
99.845	124	8437860	25.22
99.845	126	8438156	25.29
99.845	128	8438456	25.29
99.845	130	8438744	25.29
99.845	132	8439032	25.27
99.845	134	8439308	25.28
99.845	136	8439608	25.29
99.845	138	8439896	25.31
99.845	140	8440180	25.27
99.845	142	8440472	25.28
99.845	144	8440756	25.29
99.845	146	8441024	25.32
99.845	148	8441272	25.27
99.845	150	8441492	25.28
99.845	152	8441716	25.31
99.845	154	8441932	25.31
99.845	156	8442152	25.26
99.845	158	8442376	25.30
99.845	160	8442584	25.31
99.845	162	8442800	25.32
99.845	164	8443012	25.31
99.845	166	8443224	25.30
99.845	168	8443440	25.31
99.845	170	8443648	25.31
99.845	172	8443856	25.33
99.845	174	8444068	25.30
99.845	176	8444272	25.30
99.845	178	8444472	25.32
99.845	180	8444688	25.33
99.845	182	8444892	25.29
99.845	184	8445088	25.30
99.845	186	8445288	25.32
99.845	188	8445488	25.33
99.845	190	8445684	25.32
99.845	192	8445888	25.32
99.845	194	8446088	25.32
99.845	196	8446288	25.32
99.845	198	8446480	25.33
99.845	200	8446680	25.32
99.837	10	8409240	7.80
99.837	12	8409468	16.34
99.837	14	8409836	18.33
99.837	16	8410328	17.83
99.837	18	8410900	21.75
99.837	20	8411524	21.80
99.837	22	8412200	21.73
99.837	24	8412936	22.09
99.837	26	8413744	23.76
99.837	28	8414536	23.02
99.837	30	8415348	23.23
99.837	32	8416176	24.28
99.837	34	8416996	24.33
99.837	36	8417792	24.55
99.837	38	8418548	24.35
99.837	40	8419284	24.50
99.837	42	8420032	24.72
99.837	44	8420776	24.68
99.837	46	8421516	24.54
99.837	48	8422284	24.78
99.837	50	8423008	24.81
99.837	52	8423752	24.94
99.837	54	8424508	24.80
99.837	56	8425252	24.85
99.837	58	8425764	25.02
99.837	60	8426280	25.12
99.837	62	8426780	24.81
99.837	64	8427272	24.82
99.837	66	8427776	25.10
99.837	68	8428292	25.15
99.837	70	8428792	25.12
99.837	72	8429288	25.09
99.837	74	8429752	25.13
