Thresh%	Bins	bytes	pSNR
99.866	156	2112464	31.17
99.866	158	2112512	31.16
99.866	160	2112540	31.17
99.866	162	2112636	31.17
99.866	164	2112676	31.17
99.866	166	2112724	31.17
99.866	168	2112764	31.18
99.866	170	2112800	31.18
99.866	172	2112844	31.17
99.866	174	2112924	31.17
99.866	176	2112968	31.18
99.866	178	2113004	31.17
99.866	180	2113052	31.18
99.866	182	2113068	31.18
99.866	184	2113096	31.17
99.866	186	2113160	31.19
99.866	188	2113216	31.18
99.866	190	2113260	31.18
99.866	192	2113276	31.17
99.866	194	2113336	31.18
99.866	196	2113376	31.18
99.866	198	2113408	31.18
99.866	200	2113440	31.19
99.859	10	2101684	18.05
99.859	12	2101776	22.79
99.859	14	2102004	24.11
99.859	16	2102448	25.10
99.859	18	2102740	25.15
99.859	20	2103428	25.46
99.859	22	2104208	25.82
99.859	24	2104296	26.30
99.859	26	2104564	26.55
99.859	28	2105224	26.46
99.859	30	2105228	26.38
99.859	32	2105608	26.67
99.859	34	2105968	25.99
99.859	36	2106420	26.10
99.859	38	2106492	26.32
99.859	40	2106528	26.33
99.859	42	2107204	29.10
99.859	44	2107212	29.35
99.859	46	2108140	29.74
99.859	48	2107916	29.79
99.859	50	2107932	29.72
99.859	52	2108100	29.98
99.859	54	2108824	29.94
99.859	56	2108456	29.93
99.859	58	2108640	29.87
99.859	60	2108648	29.84
99.859	62	2108728	29.98
99.859	64	2109132	30.03
99.859	66	2109144	30.06
99.859	68	2109788	30.12
99.859	70	2109396	29.93
99.859	72	2109400	30.07
99.859	74	2110136	30.04
99.859	76	2109876	30.07
99.859	78	2109904	30.04
99.859	80	2109916	30.11
99.859	82	2110088	30.12
99.859	84	2110136	30.06
99.859	86	2110348	30.15
99.859	88	2110636	30.05
99.859	90	2110964	30.17
99.859	92	2110680	30.11
99.859	94	2110724	30.18
99.859	96	2111212	30.18
99.859	98	2111248	30.09
99.859	100	2111372	30.19
99.859	102	2111420	30.17
99.859	104	2111504	30.20
99.859	106	2111564	30.04
99.859	108	2111684	30.21
99.859	110	2111700	30.14
99.859	112	2111720	30.07
99.859	114	2111884	31.22
99.859	116	2111876	31.25
99.859	118	2112040	31.23
99.859	120	2112120	31.24
99.859	122	2112136	31.24
99.859	124	2112244	31.24
99.859	126	2112296	31.25
99.859	128	2112328	31.27
99.859	130	2112392	31.25
99.859	132	2112532	31.25
99.859	134	2112588	31.27
99.859	136	2112648	31.26
99.859	138	2112716	31.26
99.859	140	2112764	31.28
99.859	142	2112764	31.27
99.859	144	2112860	31.28
99.859	146	2112916	31.28
99.859	148	2112976	31.28
99.859	150	2113016	31.29
99.859	152	2113096	31.27
99.859	154	2113156	31.29
99.859	156	2113168	31.28
99.859	158	2113280	31.29
99.859	160	2113344	31.28
99.859	162	2113400	31.29
99.859	164	2113428	31.28
99.859	166	2113472	31.27
99.859	168	2113520	31.30
99.859	170	2113580	31.28
99.859	172	2113632	31.29
99.859	174	2113668	31.29
99.859	176	2113712	31.30
99.859	178	2113752	31.29
99.859	180	2113792	31.28
99.859	182	2113848	31.30
99.859	184	2113896	31.30
99.859	186	2113948	31.30
99.859	188	2114000	31.31
99.859	190	2114016	31.30
99.859	192	2114056	31.30
99.859	194	2114124	31.30
99.859	196	2114156	31.30
99.859	198	2114184	31.30
99.859	200	2114244	31.31
99.852	10	2101968	17.92
99.852	12	2102000	22.77
99.852	14	2102244	24.11
99.852	16	2102792	24.83
99.852	18	2102976	25.16
99.852	20	2103700	25.49
99.852	22	2104548	25.85
99.852	24	2104884	25.75
99.852	26	2105136	26.61
99.852	28	2105572	26.50
99.852	30	2105576	26.42
99.852	32	2106004	26.72
99.852	34	2106464	26.05
99.852	36	2106772	26.14
99.852	38	2106852	26.40
99.852	40	2107148	26.43
99.852	42	2107616	26.30
99.852	44	2107640	29.54
99.852	46	2108084	29.82
99.852	48	2108388	29.84
99.852	50	2108404	29.83
99.852	52	2109260	29.63
99.852	54	2108604	30.05
99.852	56	2109072	30.05
99.852	58	2109132	29.95
99.852	60	2109144	29.94
99.852	62	2109588	30.16
